"CountryCode","CountryName","RequestYear","HeadCount","ReqYearPopulation"
"MMR","Myanmar",2015,0.007396092,52.403669
"NAM","Namibia",2015,0.03599625,2.425561
"NPL","Nepal",2015,0.004798404,28.656282
"NLD","Netherlands",2015,0,16.939923
"NIC","Nicaragua",2015,0.003680866,6.082035
"NER","Niger",2015,0.08361186,19.896965
"NGA","Nigeria",2015,0.169945,181.181744
"NOR","Norway",2015,0,5.190239
"PAK","Pakistan",2015,0.0001006685,189.380513
"PAN","Panama",2015,0.003005785,3.969249
"PNG","Papua New Guinea",2015,0.09904077,7.919825
"PRY","Paraguay",2015,0.001523153,6.639119
"PER","Peru",2015,0.005896576,31.376671
"PHL","Philippines",2015,0.002934113,101.716359
"POL","Poland",2015,0,37.986412
"PRT","Portugal",2015,0.002312808,10.358076
"ROU","Romania",2015,0.01490079,19.815481
"RUS","Russian Federation",2015,2.222075e-08,144.09687
"RWA","Rwanda",2015,0.1752431,11.629553
"WSM","Samoa",2015,0.0003934742,0.193759
"STP","Sao Tome and Principe",2015,0.02725604,0.195553
"SEN","Senegal",2015,0.07826578,14.976994
"SRB","Serbia",2015,0.0002766665,7.095383
"SYC","Seychelles",2015,0.003129449,0.093419
"SLE","Sierra Leone",2015,0.09231168,7.237025
"SVK","Slovak Republic",2015,0.002007613,5.423801
"SVN","Slovenia",2015,0,2.063531
"SLB","Solomon Islands",2015,0.04281903,0.587482
"ZAF","South Africa",2015,0.05261703,55.291225
"SSD","South Sudan",2015,0.4610426,11.882136
"ESP","Spain",2015,0.007329204,46.444832
"LKA","Sri Lanka",2015,8.48552e-05,20.966
"LCA","St. Lucia",2015,0.02955226,0.177206
"SDN","Sudan",2015,0.01035159,38.647803
"SUR","Suriname",2015,0.1423445,0.553208
"SWE","Sweden",2015,0.002494396,9.799186
"CHE","Switzerland",2015,0,8.282396
"SYR","Syrian Arab Republic",2015,0.01540943,18.734987
"TJK","Tajikistan",2015,0.004706255,8.548651
"TZA","Tanzania",2015,0.06806269,53.879957
"THA","Thailand",2015,0.0002060129,68.6576
"TLS","Timor-Leste",2015,0.0255611,1.240977
"TGO","Togo",2015,0.1894275,7.416802
"TON","Tonga",2015,0,0.106364
"TTO","Trinidad and Tobago",2015,0.000897716,1.360092
"TUN","Tunisia",2015,0.000102017,11.273661
"TUR","Turkey",2015,0.0007600784,78.271472
"TKM","Turkmenistan",2015,0.0008071025,5.565284
"TUV","Tuvalu",2015,0,0.011001
"UGA","Uganda",2015,0.08980546,40.14487
"UKR","Ukraine",2015,0,45.154029
"GBR","United Kingdom",2015,0,65.128861
"USA","United States",2015,0.009974761,321.039839
"URY","Uruguay",2015,0.000271742,3.431552
"UZB","Uzbekistan",2015,0.02526317,31.2989
"VUT","Vanuatu",2015,0.01979605,0.264603
"VNM","Vietnam",2015,0.000948235,93.571567
"PSE","West Bank and Gaza",2015,0,4.422143
"YEM","Yemen, Republic of",2015,0.04461274,26.916207
"ZMB","Zambia",2015,0.3467569,16.100587
"ZWE","Zimbabwe",2015,0.003325641,15.777451
"ALB","Albania",2013,0.00111321,2.895092
"DZA","Algeria",2013,0.001004773,38.338562
"AGO","Angola",2013,0.06465335,25.99834
"ARG","Argentina",2013,0.002722125,38.817256
"ARM","Armenia",2013,0.002782617,2.893509
"AUS","Australia",2013,0.004337871,23.145901
"AUT","Austria",2013,0.001627515,8.479823
"AZE","Azerbaijan",2013,0,9.416801
"BGD","Bangladesh",2013,0.005814779,157.571292
"BLR","Belarus",2013,0,9.465997
"BEL","Belgium",2013,0,11.182817
"BLZ","Belize",2013,0.05480313,0.344181
"BEN","Benin",2013,0.1820804,10.004451
"BTN","Bhutan",2013,0.0002116967,0.764961
"BOL","Bolivia",2013,0.03100026,10.400264
"BIH","Bosnia and Herzegovina",2013,0,3.604999
"BWA","Botswana",2013,0.02645544,2.128507
"BRA","Brazil",2013,0.0134275,202.408632
"BGR","Bulgaria",2013,0.00732306,7.265115
"BFA","Burkina Faso",2013,0.06397549,17.072723
"BDI","Burundi",2013,0.3109792,9.600186
"CPV","Cabo Verde",2013,0.00879327,0.520106
"CMR","Cameroon",2013,0.06235889,21.655715
"CAN","Canada",2013,0.002473669,35.15237
"CAF","Central African Republic",2013,0.5396499,4.499653
"TCD","Chad",2013,0.1325952,13.133589
"CHL","Chile",2013,0.0044067,17.462982
"CHN","China",2013,0.001345599,1357.38
"CHN","China",2013,0.001785819,637.792141
"CHN","China",2013,0.0009554187,719.587859
"COL","Colombia",2013,0.01967421,47.342981
"COM","Comoros",2013,0.04606219,0.7415
"COD","Congo, Democratic Republic of",2013,0.4300377,71.316033
"COG","Congo, Republic of",2013,0.1379712,4.751393
"CRI","Costa Rica",2013,0.00523363,4.706401
"CIV","Cote d'Ivoire",2013,0.09016907,21.966312
"HRV","Croatia",2013,0.00468443,4.255689
"CYP","Cyprus",2013,0,1.143896
"CZE","Czech Republic",2013,0,10.514272
"DNK","Denmark",2013,0.002425605,5.614932
"DJI","Djibouti",2013,0.06585094,0.896688
"DOM","Dominican Republic",2013,0.002664353,10.281296
"ECU","Ecuador",2013,0.007537007,15.661547
"EGY","Egypt, Arab Republic of",2013,0.0003671402,89.807433
"SLV","El Salvador",2013,0.002662534,6.250777
"EST","Estonia",2013,0.007266649,1.317997
"SWZ","Eswatini",2013,0.1311204,1.271456
"ETH","Ethiopia",2013,0.05980903,94.887724
"FJI","Fiji",2013,0.0003547049,0.879715
"FIN","Finland",2013,0,5.438972
"FRA","France",2013,0,65.99866
"GAB","Gabon",2013,0.005829035,1.817271
"GMB","Gambia, The",2013,0.03004516,1.859324
"GEO","Georgia",2013,0.008870548,3.776
"DEU","Germany",2013,0,80.645605
"GHA","Ghana",2013,0.02394228,26.346251
"GRC","Greece",2013,0.002394882,10.965211
"GTM","Guatemala",2013,0.01943305,15.596214
"GIN","Guinea",2013,0.06166617,11.536615
"GNB","Guinea-Bissau",2013,0.3224154,1.681495
"GUY","Guyana",2013,0.01611256,0.758081
"HTI","Haiti",2013,0.05745667,10.431776
"HND","Honduras",2013,0.06135847,8.657785
"HUN","Hungary",2013,0,9.893082
"ISL","Iceland",2013,0,0.323764
"IND","India",2013,0.006721507,1278.562207
"IND","India",2013,0.008126598,869.383944
"IND","India",2013,0.003736102,409.178263
"IDN","Indonesia",2013,0.001523582,252.032263
"IDN","Indonesia",2013,0.001393315,121.088901
"IDN","Indonesia",2013,0.001644045,130.943362
"IRN","Iran, Islamic Republic of",2013,6.60616e-05,77.435384
"IRQ","Iraq",2013,0.0002075588,33.883145
"IRL","Ireland",2013,0.004981044,4.623816
"ISR","Israel",2013,0.002034248,8.0595
"ITA","Italy",2013,0.009957172,60.233948
"JAM","Jamaica",2013,0.001947348,2.851807
"JPN","Japan",2013,0.00220788,127.445
"JOR","Jordan",2013,0.0001428059,8.413464
"KAZ","Kazakhstan",2013,0,17.03555
"KEN","Kenya",2013,0.1007008,44.826849
"KIR","Kiribati",2013,0.02009329,0.108535
"KOR","Korea, Republic of",2013,0,50.428893
"XKX","Kosovo",2013,0.0002291165,1.8241
"KGZ","Kyrgyz Republic",2013,0.0007923736,5.7196
"LAO","Lao People's Democratic Republic",2013,0.01606292,6.494557
"LVA","Latvia",2013,0.00726917,2.012647
"LBN","Lebanon",2013,0,5.276102
"LSO","Lesotho",2013,0.3219224,2.117361
"LBR","Liberia",2013,0.08559042,4.286291
"LTU","Lithuania",2013,0.004705019,2.957689
"LUX","Luxembourg",2013,0,0.54336
"MKD","Macedonia, former Yugoslav Republic of",2013,0.01761358,2.075739
"MDG","Madagascar",2013,0.4524102,22.961146
"MWI","Malawi",2013,0.3471617,16.577147
"MYS","Malaysia",2013,2.855946e-05,29.706724
