p20,variable,type,value,filename,iso3,survey_year
TRUE,mortality,numerator,0,amhr42dt,ARM,1999
TRUE,mortality,denominator,1.7920335,amhr42dt,ARM,1999
FALSE,mortality,statistic,0.046771339766071,amhr42dt,ARM,1999
FALSE,mortality,numerator,232.185295,amhr42dt,ARM,1999
FALSE,mortality,denominator,4964.2643585,amhr42dt,ARM,1999
TRUE,stunting,statistic,,amhr42dt,ARM,1999
TRUE,stunting,numerator,,amhr42dt,ARM,1999
TRUE,stunting,denominator,,amhr42dt,ARM,1999
FALSE,stunting,statistic,,amhr42dt,ARM,1999
FALSE,stunting,numerator,,amhr42dt,ARM,1999
FALSE,stunting,denominator,,amhr42dt,ARM,1999
TRUE,registration,statistic,,amhr42dt,ARM,1999
TRUE,registration,numerator,,amhr42dt,ARM,1999
TRUE,registration,denominator,,amhr42dt,ARM,1999
FALSE,registration,statistic,,amhr42dt,ARM,1999
FALSE,registration,numerator,,amhr42dt,ARM,1999
FALSE,registration,denominator,,amhr42dt,ARM,1999
TRUE,mortality,statistic,0.444444444444444,amhr54dt,ARM,2005
TRUE,mortality,numerator,2.293586,amhr54dt,ARM,2005
TRUE,mortality,denominator,5.1605685,amhr54dt,ARM,2005
FALSE,mortality,statistic,0.0350526771793677,amhr54dt,ARM,2005
FALSE,mortality,numerator,145.4069475,amhr54dt,ARM,2005
FALSE,mortality,denominator,4148.2408535,amhr54dt,ARM,2005
TRUE,stunting,statistic,,amhr54dt,ARM,2005
TRUE,stunting,numerator,,amhr54dt,ARM,2005
TRUE,stunting,denominator,,amhr54dt,ARM,2005
FALSE,stunting,statistic,,amhr54dt,ARM,2005
FALSE,stunting,numerator,,amhr54dt,ARM,2005
FALSE,stunting,denominator,,amhr54dt,ARM,2005
TRUE,registration,statistic,,amhr54dt,ARM,2005
TRUE,registration,numerator,,amhr54dt,ARM,2005
TRUE,registration,denominator,,amhr54dt,ARM,2005
FALSE,registration,statistic,,amhr54dt,ARM,2005
FALSE,registration,numerator,,amhr54dt,ARM,2005
FALSE,registration,denominator,,amhr54dt,ARM,2005
TRUE,mortality,statistic,0,amhr61dt,ARM,2010
TRUE,mortality,numerator,0,amhr61dt,ARM,2010
TRUE,mortality,denominator,0.588048,amhr61dt,ARM,2010
FALSE,mortality,statistic,0.0214475704770648,amhr61dt,ARM,2010
FALSE,mortality,numerator,75.267499,amhr61dt,ARM,2010
FALSE,mortality,denominator,3509.3717995,amhr61dt,ARM,2010
TRUE,stunting,statistic,,amhr61dt,ARM,2010
TRUE,stunting,numerator,,amhr61dt,ARM,2010
TRUE,stunting,denominator,,amhr61dt,ARM,2010
FALSE,stunting,statistic,0.193617405165315,amhr61dt,ARM,2010
FALSE,stunting,numerator,258.577986,amhr61dt,ARM,2010
FALSE,stunting,denominator,1335.510027,amhr61dt,ARM,2010
TRUE,registration,statistic,,amhr61dt,ARM,2010
TRUE,registration,numerator,,amhr61dt,ARM,2010
TRUE,registration,denominator,,amhr61dt,ARM,2010
FALSE,registration,statistic,0.995891353382726,amhr61dt,ARM,2010
FALSE,registration,numerator,1485.962067,amhr61dt,ARM,2010
FALSE,registration,denominator,1492.092548,amhr61dt,ARM,2010
TRUE,mortality,statistic,0.198319338014523,amhr72dt,ARM,2015
TRUE,mortality,numerator,0.615834,amhr72dt,ARM,2015
TRUE,mortality,denominator,3.1052645,amhr72dt,ARM,2015
FALSE,mortality,statistic,0.0109318478175655,amhr72dt,ARM,2015
FALSE,mortality,numerator,45.7247625,amhr72dt,ARM,2015
FALSE,mortality,denominator,4182.711218,amhr72dt,ARM,2015
TRUE,stunting,statistic,0,amhr72dt,ARM,2015
TRUE,stunting,numerator,0,amhr72dt,ARM,2015
TRUE,stunting,denominator,1.292536,amhr72dt,ARM,2015
FALSE,stunting,statistic,0.0944772029428196,amhr72dt,ARM,2015
FALSE,stunting,numerator,148.634315,amhr72dt,ARM,2015
FALSE,stunting,denominator,1573.229418,amhr72dt,ARM,2015
TRUE,registration,statistic,1,amhr72dt,ARM,2015
TRUE,registration,numerator,1.292536,amhr72dt,ARM,2015
TRUE,registration,denominator,1.292536,amhr72dt,ARM,2015
FALSE,registration,statistic,0.999376614405708,amhr72dt,ARM,2015
FALSE,registration,numerator,1735.646605,amhr72dt,ARM,2015
FALSE,registration,denominator,1736.729257,amhr72dt,ARM,2015
TRUE,mortality,statistic,0.0308761849280245,aohr71dt,AGO,2015
TRUE,mortality,numerator,2.7208115,aohr71dt,AGO,2015
TRUE,mortality,denominator,88.1200675,aohr71dt,AGO,2015
FALSE,mortality,statistic,0.0754525167941813,aohr71dt,AGO,2015
FALSE,mortality,numerator,2105.5043,aohr71dt,AGO,2015
FALSE,mortality,denominator,27905.024106,aohr71dt,AGO,2015
TRUE,stunting,statistic,0.444792628024226,aohr71dt,AGO,2015
TRUE,stunting,numerator,15.43491,aohr71dt,AGO,2015
TRUE,stunting,denominator,34.701362,aohr71dt,AGO,2015
FALSE,stunting,statistic,0.379672559931464,aohr71dt,AGO,2015
FALSE,stunting,numerator,2813.263042,aohr71dt,AGO,2015
FALSE,stunting,denominator,7409.708625,aohr71dt,AGO,2015
TRUE,registration,statistic,0.0629682618508891,aohr71dt,AGO,2015
TRUE,registration,numerator,12.29578,aohr71dt,AGO,2015
TRUE,registration,denominator,195.269484,aohr71dt,AGO,2015
FALSE,registration,statistic,0.461490577006727,aohr71dt,AGO,2015
FALSE,registration,numerator,20124.230653,aohr71dt,AGO,2015
FALSE,registration,denominator,43607.023969,aohr71dt,AGO,2015
TRUE,mortality,statistic,,azhr52dt,AZE,2005
TRUE,mortality,numerator,,azhr52dt,AZE,2005
TRUE,mortality,denominator,,azhr52dt,AZE,2005
FALSE,mortality,statistic,0.0602225011345935,azhr52dt,AZE,2005
FALSE,mortality,numerator,368.650104,azhr52dt,AZE,2005
FALSE,mortality,denominator,6121.467841,azhr52dt,AZE,2005
TRUE,stunting,statistic,,azhr52dt,AZE,2005
TRUE,stunting,numerator,,azhr52dt,AZE,2005
TRUE,stunting,denominator,,azhr52dt,AZE,2005
