iso3,country,variable,variable.1,1999,2002,2005,2008,2010,2011,2012,2013,2015
AGO,Angola,education,value,0.191332220521393,0.198792570041604,0.210124035893181,0.206058718965123,0.218129839519764,0.229123906385337,0.226469352889574,0.233026824736053,0.246338381150059
AGO,Angola,mortality,value,0.0889572159984959,0.0877108223105405,0.0868776911058503,0.0871481116307763,0.0862121985432565,0.085290715779965,0.081983438184882,0.0765452303531404,0.0677262192928131
AGO,Angola,registration,value,0.484681244863942,0.496840036260521,0.513419754422797,0.507628114254781,0.524571369151702,0.538089132158006,0.534632763007774,0.541608755090752,0.55602911374839
AGO,Angola,stunting,value,0.365056669725002,0.357830755263244,0.349723958737638,0.35303052342893,0.341702078079442,0.336965623979086,0.337836226171065,0.335537484938953,0.325681743029592
ALB,Albania,education,value,0.352593132781991,0.354682363169073,0.354450839000413,0.351426207611704,0.354229360580711,0.357537138734237,0.359661772683167,0.362435251865374,0.36032133226173
ALB,Albania,mortality,value,0.0050924475213188,0.00476142126169115,0.00476142126169115,0.00511852537770269,0.00470590273442083,0.00508089513219156,0.00510487188133564,0.00596565231949006,0.0050970667608471
ALB,Albania,registration,value,0.983052755185892,0.978558219526834,0.978517727712444,0.982515906949203,0.98048792609269,0.981268478366429,0.982277109463062,0.982229784985874,0.982257838310246
ALB,Albania,stunting,value,0.127960085756327,0.125198373175945,0.125244679947445,0.132129818078459,0.124987211142827,0.125295329957019,0.136386741887654,0.130615723496797,0.13702870609787
ARM,Armenia,education,value,0.776076325977755,0.550000947612844,0.200005361177116,0.370603695231182,0.492736309411134,0.555114291836114,0.617461196402378,0.681278119453421,0.801754801038272
ARM,Armenia,mortality,value,0.0487881755102948,0.0443716226418207,0.0393730791832317,0.0292495431578082,0.026227922751266,0.0242412951034083,0.0222785505593959,0.0189825046482283,0.0141426231042273
ARM,Armenia,registration,value,0.999465035297662,0.999452708698613,0.9994822617348,0.99949758169805,0.99948690762249,0.999479289549733,0.999479695355082,0.999470372406384,0.999469668363817
ARM,Armenia,stunting,value,0.138533756238429,0.138377021670073,0.134639727303454,0.146134815409667,0.119700144965997,0.119945090346202,0.116929760129938,0.108170946353631,0.102424442616983
AZE,Azerbaijan,education,value,0.443409229525057,0.376991648423813,0.37717848323135,0.377273023073696,0.377302560556978,0.377308450498135,0.377313148744919,0.377317618039488,0.377333306492961
AZE,Azerbaijan,mortality,value,0.0676734060389276,0.0477104398340449,0.0477104398340449,0.0477104398340449,0.0477104398340449,0.0477104398340449,0.0477104398340449,0.0477104398340449,0.0477104398340449
